double_LSTM,sequence_size,epoches,batch_size,trainScoreMAE,trainScoreMSE,trainScoreRMSE,testScoreMAE,testScoreMSE,testScoreRMSE,start_time,end_time
FALSE,10,5,32,1204.687125,1451271.068,1204.687125,193.4562441,37425.31838,193.4562441,1.68E+12,1.68E+12
FALSE,10,5,32,1483.108023,2199609.408,1483.108023,170.6564394,29123.62031,170.6564394,1.68E+12,1.68E+12
FALSE,10,5,64,2670.065542,7129250.001,2670.065542,94.62871684,8954.594051,94.62871684,1.68E+12,1.68E+12
FALSE,10,5,64,3147.805777,9908681.209,3147.805777,248.1256777,61566.35193,248.1256777,1.68E+12,1.68E+12
FALSE,10,5,64,2731.926871,7463424.426,2731.926871,374.3825136,140162.2665,374.3825136,1.68E+12,1.68E+12
FALSE,10,5,64,2890.107535,8352721.562,2890.107535,109.5377871,11998.52679,109.5377871,1.68E+12,1.68E+12
FALSE,10,5,64,3077.513296,9471088.089,3077.513296,129.0036074,16641.93072,129.0036074,1.68E+12,1.68E+12
FALSE,10,6,16,82.45567919,6798.93903,82.45567919,58.15020122,3381.445902,58.15020122,1.68E+12,1.68E+12
FALSE,10,6,16,178.4810698,31855.49228,178.4810698,147.3097597,21700.16531,147.3097597,1.68E+12,1.68E+12
FALSE,10,6,16,311.6866362,97148.5592,311.6866362,21.94501362,481.583623,21.94501362,1.68E+12,1.68E+12
FALSE,10,6,16,92.6246245,8579.321064,92.6246245,309.4118105,95735.66848,309.4118105,1.68E+12,1.68E+12
FALSE,10,6,16,23.05213331,531.4008503,23.05213331,191.6413027,36726.3889,191.6413027,1.68E+12,1.68E+12
FALSE,10,6,32,1063.26232,1130526.761,1063.26232,178.6603457,31919.51911,178.6603457,1.68E+12,1.68E+12
FALSE,10,6,32,891.1592925,794164.8846,891.1592925,108.673041,11809.82983,108.673041,1.68E+12,1.68E+12
FALSE,10,6,32,887.02648,786815.9762,887.02648,153.7683653,23644.71016,153.7683653,1.68E+12,1.68E+12
FALSE,10,6,32,1091.615347,1191624.066,1091.615347,280.7726503,78833.28118,280.7726503,1.68E+12,1.68E+12
FALSE,10,6,32,842.2935698,709458.4577,842.2935698,196.3009707,38534.07108,196.3009707,1.68E+12,1.68E+12
FALSE,10,6,64,948.99523,900591.9465,948.99523,250.2428652,62621.49158,250.2428652,1.68E+12,1.68E+12
FALSE,10,6,64,1591.851675,2533991.756,1591.851675,271.298041,73602.62703,271.298041,1.68E+12,1.68E+12
FALSE,10,6,64,2573.611441,6623475.849,2573.611441,65.27324809,4260.596917,65.27324809,1.68E+12,1.68E+12
FALSE,10,6,64,2369.130972,5612781.563,2369.130972,319.7467714,102237.9978,319.7467714,1.68E+12,1.68E+12
FALSE,10,6,64,1427.618765,2038095.339,1427.618765,71.87470112,5165.972662,71.87470112,1.68E+12,1.68E+12
FALSE,10,7,16,230.9053862,53317.29738,230.9053862,112.9523378,12758.23062,112.9523378,1.68E+12,1.68E+12
FALSE,10,7,16,79.82237841,6371.612094,79.82237841,85.25078716,7267.696711,85.25078716,1.68E+12,1.68E+12
FALSE,10,7,16,266.394644,70966.10637,266.394644,106.2507872,11289.22977,106.2507872,1.68E+12,1.68E+12
FALSE,10,7,16,35.6410005,1270.280917,35.6410005,375.0206972,140640.5233,375.0206972,1.68E+12,1.68E+12
FALSE,10,7,16,199.7208159,39888.40431,199.7208159,8.209771531,67.4003486,8.209771531,1.68E+12,1.68E+12
FALSE,10,7,32,1072.637808,1150551.867,1072.637808,163.2062441,26636.27811,163.2062441,1.68E+12,1.68E+12
FALSE,10,7,32,984.7701323,969772.2135,984.7701323,21.60809956,466.9099667,21.60809956,1.68E+12,1.68E+12
FALSE,10,7,32,768.4283354,590482.1067,768.4283354,55.02813091,3028.095191,55.02813091,1.68E+12,1.68E+12
FALSE,10,7,32,905.6993315,820291.2791,905.6993315,107.7243105,11604.52707,107.7243105,1.68E+12,1.68E+12
FALSE,10,7,32,1035.525015,1072312.057,1035.525015,86.61846294,7502.758122,86.61846294,1.68E+12,1.68E+12
FALSE,10,7,64,2715.645621,7374731.137,2715.645621,380.7243105,144951.0006,380.7243105,1.68E+12,1.68E+12
FALSE,10,7,64,2270.899039,5156982.443,2270.899039,157.6633848,24857.74291,157.6633848,1.68E+12,1.68E+12
FALSE,10,7,64,2310.38732,5337889.568,2310.38732,80.02080669,6403.329503,80.02080669,1.68E+12,1.68E+12
FALSE,10,7,64,2231.795523,4980911.256,2231.795523,180.4411074,32558.99323,180.4411074,1.68E+12,1.68E+12
FALSE,10,7,64,2338.286734,5467584.85,2338.286734,239.8712832,57538.23248,239.8712832,1.68E+12,1.68E+12
FALSE,10,8,16,6.357797375,40.42158746,6.357797375,35.37421284,1251.334934,35.37421284,1.68E+12,1.68E+12
FALSE,10,8,16,221.9532378,49263.23976,221.9532378,17.22441997,296.6806433,17.22441997,1.68E+12,1.68E+12
FALSE,10,8,16,183.3324067,33610.77136,183.3324067,162.4939512,26404.28418,162.4939512,1.68E+12,1.68E+12
FALSE,10,8,16,266.9349458,71254.2653,266.9349458,185.2659239,34323.46255,185.2659239,1.68E+12,1.68E+12
FALSE,10,8,16,125.7715972,15818.49465,125.7715972,52.84638081,2792.739965,52.84638081,1.68E+12,1.68E+12
FALSE,10,8,32,870.2037261,757254.5249,870.2037261,27.68682231,766.5601298,27.68682231,1.68E+12,1.68E+12
FALSE,10,8,32,306.2564604,93793.01956,306.2564604,191.1824278,36550.72069,191.1824278,1.68E+12,1.68E+12
FALSE,10,8,32,579.5748198,335906.9718,579.5748198,103.1290957,10635.61037,103.1290957,1.68E+12,1.68E+12
FALSE,10,8,32,306.160269,93734.11033,306.160269,57.64960347,3323.47678,57.64960347,1.68E+12,1.68E+12
FALSE,10,8,32,51.14197706,2615.501818,51.14197706,116.6985411,13618.54949,116.6985411,1.68E+12,1.68E+12
FALSE,10,8,64,2478.315054,6142045.508,2478.315054,151.157416,22848.5644,151.157416,1.68E+12,1.68E+12
FALSE,10,8,64,1625.221792,2641345.875,1625.221792,99.49823628,9899.899023,99.49823628,1.68E+12,1.68E+12
FALSE,10,8,64,1259.065542,1585246.04,1259.065542,166.1003965,27589.34173,166.1003965,1.68E+12,1.68E+12
FALSE,10,8,64,1669.590933,2787533.884,1669.590933,94.14385356,8863.065164,94.14385356,1.68E+12,1.68E+12
FALSE,10,8,64,2355.959585,5550545.568,2355.959585,41.57940044,1728.846541,41.57940044,1.68E+12,1.68E+12
FALSE,10,9,16,294.4874175,86722.83905,294.4874175,23.08905659,533.1045344,23.08905659,1.68E+12,1.68E+12
FALSE,10,9,16,162.292105,26338.72734,162.292105,112.2761778,12605.9401,112.2761778,1.68E+12,1.68E+12
FALSE,10,9,16,445.5406401,198506.462,445.5406401,65.92499409,4346.104846,65.92499409,1.68E+12,1.68E+12
FALSE,10,9,16,231.2237456,53464.42053,231.2237456,151.7078184,23015.26217,151.7078184,1.68E+12,1.68E+12
FALSE,10,9,16,157.1173003,24685.84605,157.1173003,94.57158794,8943.785245,94.57158794,1.68E+12,1.68E+12
FALSE,10,9,32,175.6058442,30837.41253,175.6058442,70.70233784,4998.820577,70.70233784,1.68E+12,1.68E+12
FALSE,10,9,32,174.2017729,30346.25769,174.2017729,44.06659566,1941.864853,44.06659566,1.68E+12,1.68E+12
FALSE,10,9,32,135.2672026,18297.21611,135.2672026,30.83173237,950.5957212,30.83173237,1.68E+12,1.68E+12
