Id,sog,stw,head,wspeedms,wspeedbf,wdir,drafta,draftf,trim,me_power
77,11.923419,12.32429667,117.6435063,2.924248,2.096666667,269.71965,17.71390633,18.35915967,0.645256633,8992.604247
78,11.99559433,12.31970333,117.2457033,3.052556333,2.173333333,266.9859613,17.719846,18.3588055,0.638964833,9007.634577
79,12.08008433,12.32159667,116.8502993,3.18937,2.266666667,268.673002,17.72582817,18.3580925,0.63226965,9019.674683
80,12.17402467,12.32618333,116.4486283,3.332022,2.36,268.992512,17.73090667,18.35723517,0.6263324,9027.03557
81,12.26939033,12.33218167,115.968409,3.481493667,2.453333333,268.65574,17.73513267,18.356433,0.62130295,9030.322233
82,12.36493,12.34105,115.3972223,3.634674,2.546666667,268.012561,17.73858233,18.35590567,0.6173245,9032.273893
83,12.460404,12.35047333,114.802852,3.798462667,2.64,266.6957373,17.74093283,18.35563783,0.6147029,9032.50167
84,12.55548533,12.35914,114.4013167,3.973879,2.733333333,264.6848653,17.74205967,18.35545917,0.613392717,9031.82945
85,12.646058,12.36536,114.331699,4.159946,2.826666667,276.913479,17.74212267,18.35524017,0.61310815,9031.19501
86,12.72900133,12.36821333,114.6778097,4.368878333,2.95,304.7843043,17.74109983,18.35491467,0.6138062,9030.560567
87,12.804045,12.36964667,115.36387,4.583567,3.086666667,323.8586803,17.73975917,18.35453833,0.6147729,9031.674453
88,12.86824433,12.37291,116.1229173,4.756393,3.146666667,326.9212397,17.739476,18.35414467,0.614664283,9032.036677
89,12.91892033,12.3756,116.8717677,4.892056333,3.146666667,324.121862,17.73950117,18.35363667,0.61413235,9031.454457
90,12.959507,12.38000667,117.5914357,5.016416667,3.146666667,321.5093477,17.73923967,18.35296683,0.61372445,9030.973937
91,12.98463267,12.3816,118.3759047,5.125588333,3.146666667,319.222112,17.739278,18.35223883,0.61295435,9034.746743
92,12.98969533,12.37674,119.2640403,5.216725,3.146666667,317.5210143,17.74075617,18.35041533,0.609648467,9047.988967
93,12.97743933,12.36276,120.1751737,5.276059667,3.146666667,316.861278,17.74465533,18.34622367,0.601558817,9074.872853
94,12.94936533,12.3444,121.176905,5.307935333,3.146666667,316.911758,17.74996367,18.34091967,0.590949933,9108.585617
95,12.90408333,12.32039333,122.437655,5.338947,3.146666667,317.121958,17.755094,18.33635917,0.5812608,9138.211167
96,12.85188533,12.30092,123.787341,5.356710333,3.116666667,317.2650457,17.760327,18.33232367,0.5719933,9162.29617
97,12.79562533,12.28872667,125.0650827,5.347455333,3.043333333,317.267448,17.76564917,18.328334,0.562681417,9181.65673
98,12.73461767,12.27107667,126.1777057,5.353569333,3,317.5316613,17.76872483,18.325229,0.55649735,9197.578077
99,12.67367467,12.25785333,127.126522,5.380924333,3,318.0694477,17.7684175,18.32385367,0.5554244,9202.87553
100,12.59628467,12.23169,127.810573,5.401631333,3,318.5653983,17.76475,18.32413767,0.5593744,9203.353273
101,12.51697733,12.18762667,127.92449,5.418922,3,319.0868773,17.758854,18.32510933,0.566246933,9209.94852
102,12.453104,12.1517,127.5589543,5.430923333,3,319.7167437,17.7530395,18.326205,0.573162583,9213.59824
103,12.37723467,12.11072,127.0222197,5.419727,3,320.281776,17.7487495,18.3270135,0.578262433,9057.382134
104,12.18467033,11.93830833,126.3860047,5.387582,3,320.640836,17.74541433,18.326015,0.580598083,8579.761034
105,11.83410433,11.59906333,125.5153887,5.339772667,3,320.8116417,17.7407935,18.322407,0.58160785,7937.164593
106,11.45269233,11.23273667,123.009987,5.296632667,3,320.7897037,17.73384683,18.31741233,0.583556983,7415.649813
107,11.14781533,10.92331667,117.5147143,5.265875,3,320.5863047,17.7257465,18.31283383,0.5870768,7024.056478
108,10.94029767,10.66876333,109.895508,5.226564333,3,320.237367,17.71747,18.30930517,0.591824767,6704.435688
109,10.85456367,10.48063667,101.3393033,5.193716,3,319.773769,17.71007083,18.30631767,0.59623995,6438.494896
110,10.863455,10.31636667,93.38291467,5.180621333,3,319.3144903,17.706987,18.30230567,0.595315333,6113.863781
111,10.78583067,10.02121667,87.48145967,5.165911667,3,318.6621457,17.70553933,18.296389,0.590849033,5729.947948
112,10.69827267,9.740576667,82.86046067,5.129261667,3,317.3185613,17.699474,18.29116467,0.59169115,5487.719337
113,10.79683233,9.665708333,78.65187867,5.104169667,3,315.5688927,17.69132117,18.28970767,0.598385267,5550.570998
114,11.10954233,9.802171667,74.81897467,5.103255333,3,313.8990047,17.68571167,18.291979,0.606264,5916.213224
115,11.61952967,10.12211,71.144722,5.100716333,3,312.3123493,17.68195867,18.29703517,0.615071917,6430.304118
116,12.175592,10.46631667,68.89199167,5.074037667,3,311.253274,17.6786605,18.30370633,0.6250393,6824.024116
117,12.651914,10.74167667,69.387263,5.026838,3,310.718687,17.67642333,18.31000183,0.633573,7095.542112
118,13.01552133,10.94559667,71.9752,4.980572667,3,310.2372643,17.67720517,18.314151,0.636944233,7182.783225
119,13.09055733,10.89293,74.27013533,4.91953,3,309.7941407,17.67841267,18.31430983,0.635900567,7095.523226
120,13.06121767,10.79427,74.41099967,4.834571,3,309.100528,17.67603417,18.31249067,0.63646575,7226.39322
121,13.323805,11.06481667,72.773798,4.745567667,3,308.0954747,17.67603833,18.31311617,0.63708845,7589.50988
122,13.653474,11.41477667,70.65239433,4.670292,3,307.524639,17.68377333,18.315198,0.631433567,7822.250985
123,13.77817667,11.58783833,68.33390867,4.601118667,3,307.428085,17.69440867,18.31473867,0.620341617,7907.85487
124,13.75996867,11.70038667,65.68142967,4.527079667,3,307.3431957,17.707303,18.30807417,0.600786583,8035.303746
125,13.68682733,11.82546667,62.88056633,4.451267,3,307.239179,17.72652633,18.29543417,0.5689247,8200.882066
126,13.591974,11.95063333,60.038498,4.372391333,3,306.656672,17.74660783,18.28449267,0.537904883,8333.772956
127,13.48353633,12.04979833,56.539462,4.292327333,3,305.582314,17.7593005,18.27997333,0.5206935,8427.907738
128,13.38934467,12.14338333,51.67642567,4.204479,3,304.4191267,17.764142,18.27938817,0.515262567,8641.914955
129,13.47618667,12.42508333,47.63042767,4.111664,3,303.2155137,17.7689015,18.2816865,0.512793883,8988.720506
130,13.59734267,12.74773667,45.564831,4.026976333,3,302.3212143,17.77708533,18.28568383,0.508597067,9175.55717
131,13.525796,12.85240333,43.79102533,3.949591667,3,301.9248477,17.78275417,18.28870083,0.505938083,9178.80661
132,13.395412,12.85976333,41.674689,3.883195,3,301.674642,17.78215783,18.29081167,0.508644617,9160.21384
133,13.30653233,12.85347667,39.44028967,3.816031333,3,301.3192207,17.77506333,18.2945255,0.51945195,9124.64274
134,13.275729,12.83261,37.03488567,3.746272667,3,300.929914,17.76027983,18.3036645,0.543372633,9060.473307
135,13.28463,12.79538667,34.47235033,3.685168333,3,300.5803637,17.73960667,18.31776833,0.578151333,8976.984907
136,13.31036467,12.76786333,31.63635367,3.636001333,3,300.5819983,17.720726,18.32930317,0.6085675,8924.13795
137,13.35646767,12.780385,29.287126,3.595118,3,300.9577433,17.70916233,18.33426867,0.6250965,8903.616623
138,13.40694667,12.81928667,28.465098,3.563631333,2.986666667,301.2639987,17.70368633,18.335613,0.631921033,8883.413847
139,13.44351633,12.85415333,28.36129533,3.551174667,2.963333333,301.6802127,17.70035883,18.33602233,0.6356654,8864.66219
140,13.46611633,12.88646667,28.16662733,3.551163,2.953333333,302.3869897,17.6973595,18.33633167,0.63898075,8846.323313
141,13.46995533,12.91127167,27.9288,3.554302333,2.953333333,303.1500933,17.6950015,18.33668433,0.641694283,8828.351653
142,13.46508533,12.92405667,27.663365,3.555383,2.953333333,303.8628343,17.69342483,18.33691067,0.643494967,8816.10499
143,13.46134533,12.92673,27.43168933,3.562959667,2.953333333,304.515099,17.69237183,18.33691533,0.644549733,8810.515547
144,13.46196067,12.92521667,27.26134867,3.581532667,2.953333333,305.1293513,17.69176967,18.33688583,0.6451223,8804.639433
145,13.46000267,12.91345333,27.06647433,3.604268667,2.953333333,305.7004987,17.69162133,18.337093,0.645477933,8802.941183
146,13.45581733,12.88969,26.97833267,3.631139667,2.953333333,305.9446267,17.69191233,18.33765033,0.645746067,8809.672583
147,13.452173,12.86448333,27.28899133,3.667973333,2.953333333,305.868723,17.69227017,18.33829183,0.6460339,8818.3559
148,13.434543,12.85396333,27.54358467,3.724073667,2.966666667,305.8955923,17.69006933,18.33684717,0.64679175,8816.20457
149,13.38159367,12.83959667,27.54671433,3.784047667,2.99,305.767092,17.68250833,18.33072317,0.648226933,8808.47401
150,13.307666,12.80798333,27.681842,3.830930667,3,305.2152093,17.67144417,18.3213325,0.649899183,8808.560117
151,13.230699,12.780795,27.95600533,3.868883333,3,304.4271007,17.65991067,18.31131833,0.651422317,8810.52345
152,13.14746167,12.76026667,28.39277233,3.898845,3,303.486524,17.6485835,18.3013045,0.652743167,8810.671773
153,13.05195967,12.74912,28.91704033,3.914492667,3,302.402741,17.63754717,18.29144517,0.653923517,8806.328987
154,12.935789,12.74328667,29.231776,3.916087333,3,301.1621263,17.62666367,18.2818285,0.655189,8799.572873
155,12.80217667,12.738525,29.369591,3.908869333,3,299.759428,17.61566283,18.27244233,0.65680305,8790.426197
156,12.658428,12.733875,29.34275267,3.892839,3,298.1935183,17.60406433,18.2631635,0.659120833,8775.04064
157,12.50524467,12.71822667,28.227365,3.863864667,3,296.421219,17.59191217,18.25397633,0.662082433,8765.974753
158,12.36184433,12.68578,27.28183267,3.820226667,3,294.5239543,17.58204467,18.24682383,0.664796233,8772.514413
159,12.257632,12.66018,27.30330733,3.768978667,3,292.6547463,17.57733817,18.24417867,0.666859733,8780.268297
160,12.187361,12.65020667,27.40365233,3.717515333,3,290.835983,17.57605267,18.24450283,0.668471433,8783.471073
161,12.13787767,12.63899,27.94679267,3.667783,2.996666667,289.08403,17.57548583,18.24511883,0.669651133,8788.18719
162,12.095379,12.62514,28.26313067,3.621246333,2.99,287.4851763,17.57485583,18.24564033,0.67079705,8792.85053
163,12.05440767,12.61175333,28.00107067,3.578194667,2.946666667,286.308137,17.5740785,18.24616483,0.67209725,8797.609423
164,12.025475,12.60430667,27.88493867,3.543550333,2.876666667,285.4087567,17.5736495,18.246484,0.6728493,8802.239977
165,12.00770033,12.60414167,28.03519133,3.516009333,2.796666667,284.6293837,17.57363967,18.2463545,0.672735433,8805.207747
166,12.000162,12.60793833,28.32016867,3.487364333,2.696666667,284.1623233,17.5739965,18.24583,0.67185955,8809.85441
167,11.99984233,12.61547833,29.384406,3.457615667,2.596666667,284.0083677,17.574872,18.245214,0.670370317,8809.099413
168,11.99977433,12.62277,30.29137867,3.420476333,2.496666667,283.9858037,17.5757115,18.24472033,0.669033967,8800.364423
169,11.99159133,12.62751,30.31874967,3.371929,2.396666667,283.896179,17.576015,18.2444645,0.668467217,8792.7411
170,11.968756,12.63005167,30.02375367,3.316483667,2.296666667,283.9019067,17.57582017,18.2445065,0.668698283,8787.67888
171,11.933815,12.63346,29.22278133,3.259806667,2.2,284.0267993,17.5752945,18.24474767,0.669464533,8783.475543
172,11.90417233,12.64122,28.76098633,3.207175333,2.106666667,284.0716027,17.57482317,18.24488283,0.670071933,8781.668317
173,11.88673167,12.64666,29.09105567,3.167584667,2.05,283.8550777,17.57453383,18.24468717,0.6701666,8781.409427
174,11.86911133,12.64309333,29.43139133,3.128971667,2.02,283.613227,17.573872,18.24430817,0.670448233,8780.867767
175,11.84899,12.63522667,29.45972667,3.080161667,2,283.8265253,17.5726435,18.24398233,0.671345033,8780.67555
176,11.829375,12.63144667,29.37539267,3.028020667,2,284.5219527,17.57124783,18.243772,0.672523967,8780.150553
177,11.81175733,12.62898833,29.30941267,2.970605333,2,285.3791257,17.56977367,18.2436095,0.673836067,8780.01778
178,11.79819267,12.62341,29.15763933,2.910803,2,286.314288,17.56807567,18.24341117,0.6753419,8780.868323
179,11.78882367,12.61316333,29.02359633,2.843298333,2,287.277097,17.566137,18.24306167,0.676935433,8787.066643
180,11.78407433,12.59948167,29.20338733,2.763324333,2,288.0937967,17.5641875,18.24248167,0.678305883,8795.091083
181,11.78719167,12.58511333,29.510625,2.673963667,2,289.7430237,17.5624895,18.24174617,0.679267667,8797.715523
182,11.79208967,12.57418,29.59482233,2.575132667,2,292.4486637,17.56099717,18.241017,0.68003035,8795.79385
183,11.79039867,12.55860167,29.675338,2.468990667,2,295.315362,17.55943233,18.24038,0.680959117,8799.443843
184,11.787022,12.53746667,30.304421,2.357991667,2,298.088548,17.55760033,18.23976883,0.6821792,8808.599953
185,11.787297,12.51233,31.96185633,2.244521,2,300.4538553,17.5556125,18.2390885,0.68348335,8820.52051
186,11.79275767,12.48065667,34.09885733,2.132862667,1.996666667,301.2042479,17.55360317,18.23829383,0.684694133,8832.68551
187,11.80340833,12.45039,35.96872667,2.089338,2,301.6039298,17.55165817,18.23746933,0.685807083,8839.63051
