double_LSTM,sequence_size,epoches,batch_size,trainScoreMAE,trainScoreMSE,trainScoreRMSE,testScoreMAE,testScoreMSE,testScoreRMSE,exec_time
True,20,6,16,109.26024591281572,28757.493988650578,169.5803467051845,110.32813017757958,20257.98428673821,142.3305458667893,143393.69580078125
True,20,6,16,106.63755400965776,26947.32218825847,164.15639551433404,104.42704343651519,25618.999470576113,160.05936233340464,143373.85693359375
True,20,6,16,190.015278687424,60160.826830629696,245.2770409774011,144.68244995453549,31150.161557940337,176.49408363438232,139336.52709960938
True,20,6,32,151.07009380493724,44263.71184459325,210.38942902292703,155.84364897988513,38126.212010205694,195.2593455131039,78933.0
True,20,6,32,155.24148364035557,54032.6301337519,232.4491990387403,151.03641488447138,39538.889440337894,198.8438820792279,78951.05297851562
True,20,6,32,147.26686149868286,51300.10204834215,226.49525833522907,146.45537402894334,36287.449129398716,190.4926484917429,79275.58569335938
True,20,6,32,147.2090934785352,44918.65278726931,211.94021040677796,172.71025550583585,39657.944958978274,199.1430263880166,79134.37524414062
True,20,6,32,213.37761193117777,76027.12530482111,275.7301675639086,269.9658944611355,97615.1167965023,312.4341799427558,79667.22119140625
True,20,6,64,224.0903352498919,99663.88580561259,315.69587549667574,179.02613383841216,87671.31460312191,296.09342208688446,49290.866943359375
True,20,6,64,202.55295050574372,77327.49773797879,278.07822233677126,231.87027901679818,76675.75919798204,276.9038807925632,49654.15478515625
True,20,6,64,376.8852643054556,207754.48864745747,455.8009309418504,265.859525861249,108342.75343517361,329.1546041530843,49586.59423828125
True,20,6,64,235.55776760256998,155817.41090064865,394.737141526673,285.1922670594017,187427.34525132444,432.9287992861233,49356.707763671875
True,20,6,64,174.10580819247664,73288.16731730955,270.7178740262814,134.3106282696384,41908.93716753265,204.71672420086406,51244.635009765625
True,20,7,16,113.90990609991736,26182.040859555644,161.8086550823399,124.80472084601702,22624.67005316426,150.41499278052126,166128.70361328125
True,20,7,16,308.39314951771246,114041.4329418926,337.700211640284,373.03294151325713,148503.019611708,385.3608952809146,163579.52954101562
